Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ts1,Firefox 64.0,,2019-02-06 14:48:05,2019-02-06 14:48:26,20.451s,FAILED
,,,,,,
Test Cases/test1,Firefox 64.0,,2019-02-06 14:48:06,2019-02-06 14:48:25,19.354s,FAILED
"openBrowser("""")",Firefox 64.0,,2019-02-06 14:48:06,2019-02-06 14:48:17,11.038s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 64.0,,2019-02-06 14:48:17,2019-02-06 14:48:20,2.867s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Firefox 64.0,,2019-02-06 14:48:20,2019-02-06 14:48:21,0.692s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 64.0,,2019-02-06 14:48:21,2019-02-06 14:48:21,0.147s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 64.0,,2019-02-06 14:48:21,2019-02-06 14:48:21,0.211s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Firefox 64.0,,2019-02-06 14:48:21,2019-02-06 14:48:22,1.412s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare C""), ""Seoul CURA Healthcare Center"", true)",Firefox 64.0,,2019-02-06 14:48:22,2019-02-06 14:48:23,0.398s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readm""))",Firefox 64.0,,2019-02-06 14:48:23,2019-02-06 14:48:23,0.245s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_Visit Date (Required)_inpu""))",Firefox 64.0,,2019-02-06 14:48:23,2019-02-06 14:48:23,0.290s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_22""))",Firefox 64.0,,2019-02-06 14:48:23,2019-02-06 14:48:24,0.250s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""this is a comment"")",Firefox 64.0,,2019-02-06 14:48:24,2019-02-06 14:48:24,0.095s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Firefox 64.0,,2019-02-06 14:48:24,2019-02-06 14:48:24,0.656s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Appointment Confirmation""), ""Hello"")",Firefox 64.0,,2019-02-06 14:48:24,2019-02-06 14:48:25,0.590s,FAILED
